style_idx,style,cluster,rung,k,channel,n_off,n_on,count_delta,intersection,sym_diff,added,removed,jaccard,jaccard_distance,retention,ids_off,ids_on
2,Critical,Analytical,Contextual,4,cross,4,4,0,1,6,3,3,0.142857,0.857143,0.250000,1 9 18 29,1 13 28 30
2,Critical,Analytical,Contextual,8,same,6,5,-1,5,1,0,1,0.833333,0.166667,0.833333,3 7 10 11 17 21,3 7 10 11 21
2,Critical,Analytical,Contextual,8,cross,8,5,-3,2,9,3,6,0.181818,0.818182,0.250000,1 4 9 15 18 23 29 31,1 13 28 30 31
2,Critical,Analytical,Analogical,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
2,Critical,Analytical,Analogical,1,cross,1,1,0,0,2,1,1,0.000000,1.000000,0.000000,4,13
2,Critical,Analytical,Analogical,2,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
2,Critical,Analytical,Analogical,2,cross,2,2,0,0,4,2,2,0.000000,1.000000,0.000000,4 23,13 28
2,Critical,Analytical,Analogical,3,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
2,Critical,Analytical,Analogical,3,cross,3,3,0,0,6,3,3,0.000000,1.000000,0.000000,4 9 23,13 28 31
2,Critical,Analytical,Analogical,4,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
2,Critical,Analytical,Analogical,4,cross,4,3,-1,1,5,2,3,0.166667,0.833333,0.250000,4 9 23 31,13 28 31
2,Critical,Analytical,Analogical,8,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
2,Critical,Analytical,Analogical,8,cross,8,3,-5,3,5,0,5,0.375000,0.625000,0.375000,4 6 9 13 23 28 31 34,13 28 31
3,Systematic,Analytical,Surface,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
3,Systematic,Analytical,Surface,1,cross,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,1,1
3,Systematic,Analytical,Surface,2,same,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,3 11,3 10
3,Systematic,Analytical,Surface,2,cross,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,1 22,1 30
3,Systematic,Analytical,Surface,3,same,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,3 10 17,3 7 10
