style_idx,style,rung,k,tol,channel,verdict_off,verdict_on
5,Precise,Analogical,3,0.01,cross,0,27
5,Precise,Analogical,3,0.02,cross,0,27
5,Precise,Analogical,4,0,cross,0,27
5,Precise,Analogical,4,0.001,cross,0,27
5,Precise,Analogical,4,0.005,cross,0,27
5,Precise,Analogical,4,0.01,cross,0,27
5,Precise,Analogical,4,0.02,cross,0,27
6,Creative,Surface,2,0,same,0,7
6,Creative,Surface,2,0.001,same,0,7
6,Creative,Surface,2,0.005,same,0,7
6,Creative,Surface,2,0.01,same,0,7
6,Creative,Surface,2,0.02,same,0,7
6,Creative,Surface,3,0,same,0,7
6,Creative,Surface,3,0.001,same,0,7
6,Creative,Surface,3,0.005,same,0,7
6,Creative,Surface,3,0.01,same,0,7
6,Creative,Surface,3,0.02,same,0,7
6,Creative,Surface,3,0.1,cross,0,26
6,Creative,Surface,4,0,same,0,7
6,Creative,Surface,4,0.001,same,0,7
6,Creative,Surface,4,0.005,same,0,7
6,Creative,Surface,4,0.01,same,0,7
6,Creative,Surface,4,0.02,same,0,7
6,Creative,Surface,4,0.1,cross,0,26
6,Creative,Shallow,2,0,same,0,7
6,Creative,Shallow,2,0.001,same,0,7
6,Creative,Shallow,2,0.005,same,0,7
6,Creative,Shallow,2,0.01,same,0,7
6,Creative,Shallow,2,0.02,same,0,7
6,Creative,Shallow,3,0,same,0,7
6,Creative,Shallow,3,0.001,same,0,7
6,Creative,Shallow,3,0.005,same,0,7
6,Creative,Shallow,3,0.01,same,0,7
6,Creative,Shallow,3,0.02,same,0,7
6,Creative,Shallow,3,0.1,cross,0,26
6,Creative,Shallow,4,0,same,0,7
6,Creative,Shallow,4,0.001,same,0,7
6,Creative,Shallow,4,0.005,same,0,7
6,Creative,Shallow,4,0.01,same,0,7
6,Creative,Shallow,4,0.02,same,0,7
6,Creative,Shallow,4,0.1,cross,0,26
6,Creative,Contextual,2,0,same,0,7
6,Creative,Contextual,2,0.001,same,0,7
6,Creative,Contextual,2,0.005,same,0,7
6,Creative,Contextual,2,0.01,same,0,7
6,Creative,Contextual,2,0.02,same,0,7
6,Creative,Contextual,3,0,same,0,7
6,Creative,Contextual,3,0.001,same,0,7
6,Creative,Contextual,3,0.005,same,0,7
6,Creative,Contextual,3,0.01,same,0,7
6,Creative,Contextual,3,0.02,same,0,7
6,Creative,Contextual,3,0.1,cross,0,26
6,Creative,Contextual,4,0,same,0,7
6,Creative,Contextual,4,0.001,same,0,7
6,Creative,Contextual,4,0.005,same,0,7
6,Creative,Contextual,4,0.01,same,0,7
6,Creative,Contextual,4,0.02,same,0,7
6,Creative,Analogical,2,0,same,0,7
6,Creative,Analogical,2,0.001,same,0,7
6,Creative,Analogical,2,0.005,same,0,7
6,Creative,Analogical,2,0.01,same,0,7
6,Creative,Analogical,2,0.02,same,0,7
6,Creative,Analogical,3,0,same,0,7
6,Creative,Analogical,3,0.001,same,0,7
6,Creative,Analogical,3,0.005,same,0,7
6,Creative,Analogical,3,0.01,same,0,7
6,Creative,Analogical,3,0.02,same,0,7
6,Creative,Analogical,4,0,same,0,7
6,Creative,Analogical,4,0.001,same,0,7
6,Creative,Analogical,4,0.005,same,0,7
6,Creative,Analogical,4,0.01,same,0,7
6,Creative,Analogical,4,0.02,same,0,7
7,Imaginative,Surface,2,0,same,0,7
7,Imaginative,Surface,2,0.001,same,0,7
7,Imaginative,Surface,2,0.005,same,0,7
7,Imaginative,Surface,2,0.01,same,0,7
7,Imaginative,Surface,2,0.02,same,0,7
7,Imaginative,Surface,3,0,same,0,7
7,Imaginative,Surface,3,0.001,same,0,7
7,Imaginative,Surface,3,0.005,same,0,7
7,Imaginative,Surface,3,0.01,same,0,7
7,Imaginative,Surface,3,0.02,same,0,7
7,Imaginative,Surface,3,0.1,cross,0,26
7,Imaginative,Surface,4,0,same,0,7
7,Imaginative,Surface,4,0.001,same,0,7
7,Imaginative,Surface,4,0.005,same,0,7
7,Imaginative,Surface,4,0.01,same,0,7
7,Imaginative,Surface,4,0.02,same,0,7
7,Imaginative,Surface,4,0.1,cross,0,26
7,Imaginative,Shallow,2,0,same,0,7
7,Imaginative,Shallow,2,0.001,same,0,7
7,Imaginative,Shallow,2,0.005,same,0,7
7,Imaginative,Shallow,2,0.01,same,0,7
7,Imaginative,Shallow,2,0.02,same,0,7
7,Imaginative,Shallow,3,0,same,0,7
7,Imaginative,Shallow,3,0.001,same,0,7
7,Imaginative,Shallow,3,0.005,same,0,7
7,Imaginative,Shallow,3,0.01,same,0,7
7,Imaginative,Shallow,3,0.02,same,0,7
7,Imaginative,Shallow,3,0.1,cross,0,26
7,Imaginative,Shallow,4,0,same,0,7
7,Imaginative,Shallow,4,0.001,same,0,7
7,Imaginative,Shallow,4,0.005,same,0,7
7,Imaginative,Shallow,4,0.01,same,0,7
7,Imaginative,Shallow,4,0.02,same,0,7
7,Imaginative,Shallow,4,0.1,cross,0,26
7,Imaginative,Contextual,2,0,same,0,7
7,Imaginative,Contextual,2,0.001,same,0,7
7,Imaginative,Contextual,2,0.005,same,0,7
7,Imaginative,Contextual,2,0.01,same,0,7
7,Imaginative,Contextual,2,0.02,same,0,7
7,Imaginative,Contextual,3,0,same,0,7
7,Imaginative,Contextual,3,0.001,same,0,7
7,Imaginative,Contextual,3,0.005,same,0,7
7,Imaginative,Contextual,3,0.01,same,0,7
7,Imaginative,Contextual,3,0.02,same,0,7
7,Imaginative,Contextual,3,0.1,cross,0,26
7,Imaginative,Contextual,4,0,same,0,7
7,Imaginative,Contextual,4,0.001,same,0,7
7,Imaginative,Contextual,4,0.005,same,0,7
7,Imaginative,Contextual,4,0.01,same,0,7
7,Imaginative,Contextual,4,0.02,same,0,7
7,Imaginative,Analogical,2,0,same,0,7
7,Imaginative,Analogical,2,0.001,same,0,7
7,Imaginative,Analogical,2,0.005,same,0,7
7,Imaginative,Analogical,2,0.01,same,0,7
7,Imaginative,Analogical,2,0.02,same,0,7
7,Imaginative,Analogical,3,0,same,0,7
7,Imaginative,Analogical,3,0.001,same,0,7
7,Imaginative,Analogical,3,0.005,same,0,7
7,Imaginative,Analogical,3,0.01,same,0,7
7,Imaginative,Analogical,3,0.02,same,0,7
7,Imaginative,Analogical,4,0,same,0,7
7,Imaginative,Analogical,4,0.001,same,0,7
7,Imaginative,Analogical,4,0.005,same,0,7
7,Imaginative,Analogical,4,0.01,same,0,7
7,Imaginative,Analogical,4,0.02,same,0,7
8,Innovative,Surface,2,0,same,0,7
8,Innovative,Surface,2,0.001,same,0,7
8,Innovative,Surface,2,0.005,same,0,7
8,Innovative,Surface,2,0.01,same,0,7
8,Innovative,Surface,2,0.02,same,0,7
8,Innovative,Surface,3,0,same,0,7
8,Innovative,Surface,3,0.001,same,0,7
8,Innovative,Surface,3,0.005,same,0,7
8,Innovative,Surface,3,0.01,same,0,7
8,Innovative,Surface,3,0.02,same,0,7
8,Innovative,Surface,3,0.1,cross,0,26
8,Innovative,Surface,4,0,same,0,7
8,Innovative,Surface,4,0.001,same,0,7
8,Innovative,Surface,4,0.005,same,0,7
8,Innovative,Surface,4,0.01,same,0,7
8,Innovative,Surface,4,0.02,same,0,7
8,Innovative,Surface,4,0.1,cross,0,26
8,Innovative,Shallow,2,0,same,0,7
8,Innovative,Shallow,2,0.001,same,0,7
8,Innovative,Shallow,2,0.005,same,0,7
8,Innovative,Shallow,2,0.01,same,0,7
8,Innovative,Shallow,2,0.02,same,0,7
8,Innovative,Shallow,3,0,same,0,7
8,Innovative,Shallow,3,0.001,same,0,7
8,Innovative,Shallow,3,0.005,same,0,7
8,Innovative,Shallow,3,0.01,same,0,7
8,Innovative,Shallow,3,0.02,same,0,7
8,Innovative,Shallow,3,0.1,cross,0,26
8,Innovative,Shallow,4,0,same,0,7
8,Innovative,Shallow,4,0.001,same,0,7
8,Innovative,Shallow,4,0.005,same,0,7
8,Innovative,Shallow,4,0.01,same,0,7
8,Innovative,Shallow,4,0.02,same,0,7
8,Innovative,Shallow,4,0.1,cross,0,26
8,Innovative,Contextual,2,0,same,0,7
8,Innovative,Contextual,2,0.001,same,0,7
8,Innovative,Contextual,2,0.005,same,0,7
8,Innovative,Contextual,2,0.01,same,0,7
8,Innovative,Contextual,2,0.02,same,0,7
8,Innovative,Contextual,3,0,same,0,7
8,Innovative,Contextual,3,0.001,same,0,7
8,Innovative,Contextual,3,0.005,same,0,7
8,Innovative,Contextual,3,0.01,same,0,7
8,Innovative,Contextual,3,0.02,same,0,7
8,Innovative,Contextual,3,0.1,cross,0,26
8,Innovative,Contextual,4,0,same,0,7
8,Innovative,Contextual,4,0.001,same,0,7
8,Innovative,Contextual,4,0.005,same,0,7
8,Innovative,Contextual,4,0.01,same,0,7
8,Innovative,Contextual,4,0.02,same,0,7
8,Innovative,Analogical,2,0,same,0,7
8,Innovative,Analogical,2,0.001,same,0,7
8,Innovative,Analogical,2,0.005,same,0,7
8,Innovative,Analogical,2,0.01,same,0,7
8,Innovative,Analogical,2,0.02,same,0,7
8,Innovative,Analogical,3,0,same,0,7
8,Innovative,Analogical,3,0.001,same,0,7
8,Innovative,Analogical,3,0.005,same,0,7
8,Innovative,Analogical,3,0.01,same,0,7
8,Innovative,Analogical,3,0.02,same,0,7
8,Innovative,Analogical,4,0,same,0,7
8,Innovative,Analogical,4,0.001,same,0,7
8,Innovative,Analogical,4,0.005,same,0,7
8,Innovative,Analogical,4,0.01,same,0,7
8,Innovative,Analogical,4,0.02,same,0,7
9,Artistic,Surface,2,0,same,0,7
9,Artistic,Surface,2,0.001,same,0,7
9,Artistic,Surface,2,0.005,same,0,7
9,Artistic,Surface,2,0.01,same,0,7
9,Artistic,Surface,2,0.02,same,0,7
9,Artistic,Surface,3,0,same,0,7
9,Artistic,Surface,3,0.001,same,0,7
9,Artistic,Surface,3,0.005,same,0,7
9,Artistic,Surface,3,0.01,same,0,7
9,Artistic,Surface,3,0.02,same,0,7
9,Artistic,Surface,3,0.1,cross,0,26
9,Artistic,Surface,4,0,same,0,7
9,Artistic,Surface,4,0.001,same,0,7
9,Artistic,Surface,4,0.005,same,0,7
9,Artistic,Surface,4,0.01,same,0,7
9,Artistic,Surface,4,0.02,same,0,7
9,Artistic,Surface,4,0.1,cross,0,26
9,Artistic,Shallow,2,0,same,0,7
9,Artistic,Shallow,2,0.001,same,0,7
9,Artistic,Shallow,2,0.005,same,0,7
9,Artistic,Shallow,2,0.01,same,0,7
9,Artistic,Shallow,2,0.02,same,0,7
9,Artistic,Shallow,3,0,same,0,7
9,Artistic,Shallow,3,0.001,same,0,7
9,Artistic,Shallow,3,0.005,same,0,7
9,Artistic,Shallow,3,0.01,same,0,7
9,Artistic,Shallow,3,0.02,same,0,7
9,Artistic,Shallow,3,0.1,cross,0,26
9,Artistic,Shallow,4,0,same,0,7
9,Artistic,Shallow,4,0.001,same,0,7
9,Artistic,Shallow,4,0.005,same,0,7
9,Artistic,Shallow,4,0.01,same,0,7
9,Artistic,Shallow,4,0.02,same,0,7
9,Artistic,Shallow,4,0.1,cross,0,26
9,Artistic,Contextual,2,0,same,0,7
9,Artistic,Contextual,2,0.001,same,0,7
9,Artistic,Contextual,2,0.005,same,0,7
9,Artistic,Contextual,2,0.01,same,0,7
9,Artistic,Contextual,2,0.02,same,0,7
9,Artistic,Contextual,3,0,same,0,7
9,Artistic,Contextual,3,0.001,same,0,7
9,Artistic,Contextual,3,0.005,same,0,7
9,Artistic,Contextual,3,0.01,same,0,7
9,Artistic,Contextual,3,0.02,same,0,7
9,Artistic,Contextual,3,0.1,cross,0,26
9,Artistic,Contextual,4,0,same,0,7
9,Artistic,Contextual,4,0.001,same,0,7
9,Artistic,Contextual,4,0.005,same,0,7
9,Artistic,Contextual,4,0.01,same,0,7
9,Artistic,Contextual,4,0.02,same,0,7
9,Artistic,Analogical,2,0,same,0,7
9,Artistic,Analogical,2,0.001,same,0,7
9,Artistic,Analogical,2,0.005,same,0,7
9,Artistic,Analogical,2,0.01,same,0,7
9,Artistic,Analogical,2,0.02,same,0,7
9,Artistic,Analogical,3,0,same,0,7
9,Artistic,Analogical,3,0.001,same,0,7
9,Artistic,Analogical,3,0.005,same,0,7
9,Artistic,Analogical,3,0.01,same,0,7
9,Artistic,Analogical,3,0.02,same,0,7
9,Artistic,Analogical,4,0,same,0,7
9,Artistic,Analogical,4,0.001,same,0,7
9,Artistic,Analogical,4,0.005,same,0,7
9,Artistic,Analogical,4,0.01,same,0,7
9,Artistic,Analogical,4,0.02,same,0,7
10,Poetic,Surface,2,0,same,0,7
10,Poetic,Surface,2,0.001,same,0,7
10,Poetic,Surface,2,0.005,same,0,7
10,Poetic,Surface,2,0.01,same,0,7
10,Poetic,Surface,2,0.02,same,0,7
10,Poetic,Surface,3,0,same,0,7
10,Poetic,Surface,3,0.001,same,0,7
10,Poetic,Surface,3,0.005,same,0,7
10,Poetic,Surface,3,0.01,same,0,7
10,Poetic,Surface,3,0.02,same,0,7
10,Poetic,Surface,3,0.1,cross,0,26
10,Poetic,Surface,4,0,same,0,7
10,Poetic,Surface,4,0.001,same,0,7
10,Poetic,Surface,4,0.005,same,0,7
10,Poetic,Surface,4,0.01,same,0,7
10,Poetic,Surface,4,0.02,same,0,7
10,Poetic,Surface,4,0.1,cross,0,26
10,Poetic,Shallow,2,0,same,0,7
10,Poetic,Shallow,2,0.001,same,0,7
10,Poetic,Shallow,2,0.005,same,0,7
10,Poetic,Shallow,2,0.01,same,0,7
10,Poetic,Shallow,2,0.02,same,0,7
10,Poetic,Shallow,3,0,same,0,7
10,Poetic,Shallow,3,0.001,same,0,7
10,Poetic,Shallow,3,0.005,same,0,7
10,Poetic,Shallow,3,0.01,same,0,7
10,Poetic,Shallow,3,0.02,same,0,7
10,Poetic,Shallow,3,0.1,cross,0,26
10,Poetic,Shallow,4,0,same,0,7
10,Poetic,Shallow,4,0.001,same,0,7
10,Poetic,Shallow,4,0.005,same,0,7
10,Poetic,Shallow,4,0.01,same,0,7
10,Poetic,Shallow,4,0.02,same,0,7
10,Poetic,Shallow,4,0.1,cross,0,26
10,Poetic,Contextual,2,0,same,0,7
10,Poetic,Contextual,2,0.001,same,0,7
10,Poetic,Contextual,2,0.005,same,0,7
10,Poetic,Contextual,2,0.01,same,0,7
10,Poetic,Contextual,2,0.02,same,0,7
10,Poetic,Contextual,3,0,same,0,7
10,Poetic,Contextual,3,0.001,same,0,7
10,Poetic,Contextual,3,0.005,same,0,7
10,Poetic,Contextual,3,0.01,same,0,7
10,Poetic,Contextual,3,0.02,same,0,7
10,Poetic,Contextual,3,0.1,cross,0,26
10,Poetic,Contextual,4,0,same,0,7
10,Poetic,Contextual,4,0.001,same,0,7
10,Poetic,Contextual,4,0.005,same,0,7
10,Poetic,Contextual,4,0.01,same,0,7
10,Poetic,Contextual,4,0.02,same,0,7
