# COCA master lexicon (ngrams.info coca_lexicon.txt, format #3), compacted.
# word<TAB>lemma<TAB>pos — pos: n noun · v verb · b be/aux · j adj · r adverb · i prep.
# First (highest-frequency) reading per surface form; top ~20k alphabetic forms.
cases	case	n
understand	understand	v
situation	situation	n
girl	girl	n
college	college	n
view	view	n
paper	paper	n
significant	significant	j
phone	phone	n
floor	floor	n
wants	want	v
service	service	n
countries	country	n
upon	upon	i
gets	get	v
society	society	n
finally	finally	r
quickly	quickly	r
summer	summer	n
period	period	n
husband	husband	n
rights	right	n
nation	nation	n
rest	rest	n
security	security	n
play	play	v
effect	effect	n
become	become	v
action	action	n
single	single	j
decision	decision	n
bed	bed	n
according	according	i
photo	photo	n
road	road	n
try	try	v
studies	study	n
per	per	i
love	love	n
land	land	n
private	private	j
international	international	j
nature	nature	n
blood	blood	n
pay	pay	v
level	level	n
certainly	certainly	r
common	common	j
plan	plan	n
culture	culture	n
economy	economy	n
hour	hour	n
recently	recently	r
thank	thank	v
far	far	r
workers	worker	n
ground	ground	n
show	show	n
bring	bring	v
dead	dead	j
campaign	campaign	n
chance	chance	n
century	century	n
energy	energy	n
miles	mile	n
knows	know	v
similar	similar	j
quite	quite	r
services	service	n
wrote	write	v
michael	michael	n
usually	usually	r
serious	serious	j
results	result	n
performance	performance	n
baby	baby	n
rate	rate	n
support	support	n
either	either	r
current	current	j
foreign	foreign	j
population	population	n
tv	tv	n
particularly	particularly	r
families	family	n
tried	try	v
lives	life	n
leave	leave	v
church	church	n
growth	growth	n
practice	practice	n
model	model	n
result	result	n
change	change	n
texas	texas	n
computer	computer	n
higher	high	j
likely	likely	j
tax	tax	n
film	film	n
teacher	teacher	n
patients	patient	n
technology	technology	n
let	let	v
soon	soon	r
department	department	n
daughter	daughter	n
knowledge	knowledge	n
street	street	n
form	form	n
happened	happen	v
arms	arm	n
clear	clear	j
physical	physical	j
late	late	j
turned	turn	v
media	media	n
administration	administration	n
behavior	behavior	n
force	force	n
language	language	n
medical	medical	j
site	site	n
provide	provide	v
report	report	n
