account_number,account_name,family,source
0050,"Ausstehende Einlagen auf das grundstücksglei- Komplementär-Kapital, nicht che Rechte und eingefordert Bauten ein-",Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0060,"Ausstehende Einlagen auf das den Grundstü- Komplementär-Kapital, eingeforcken dert",Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0070,"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert",Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0080,"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert",Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0090,Rückständige fällige Einzahlungen auf Geschäftsanteile,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0100,"Entgeltlich erworbene Konzessio- nen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten",Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0110,Konzessionen,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0120,Gewerbliche Schutzrechte,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0130,Ähnliche Rechte und Werte,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0135,EDV-Software,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0140,Lizenzen an gewerblichen Schutz- rechten und ähnlichen Rechten und Werten,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0143,Selbst geschaffene immaterielle Vermögensgegenstände,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0144,EDV-Software,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0145,Lizenzen und Franchiseverträge,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0146,Konzessionen und gewerbliche Technische Schutzrechte Anlagen und,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0147,"Rezepte, Verfahren, Prototypen Maschinen",Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0148,Immaterielle Vermögensgegenstände in Entwicklung,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0150,Geschäfts- oder Firmenwert,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0170,Geleistete Anzahlungen auf im- Betriebs- und Ge- materielle Vermögensgegen- schäftsausstatstände tung,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0179,"Anzahlungen auf Geschäfts- oder Firmenwert Eigenformular, Nachdruck auch auszugsweise nic 0 Bilanz- Anlagevermögenskonten Posten2)",Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0200,"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grund- stücken",Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0210,Grundstücksgleiche Rechte ohne Bauten,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
0215,Unbebaute Grundstücke,Anlagevermögen,"DATEV SKR 04 (Art.-Nr. 11175, 2023)"
