rank,word,freq,#texts,%caps
219,ever,402993,160438,0.05
220,feel,402775,149584,0.03
221,though,401952,170819,0.12
222,keep,401067,168838,0.11
223,high,398502,162386,0.14
224,states,396934,113628,0.64
225,enough,396605,168691,0.03
226,government,396422,96405,0.08
227,anything,395551,145289,0.06
228,nothing,383877,141307,0.18
229,students,383366,54383,0.06
230,until,382431,166531,0.08
231,country,377978,131476,0.05
232,went,377066,145877,0.01
233,city,375602,120834,0.38
234,believe,375032,139045,0.03
235,once,374966,173573,0.22
236,maybe,374724,118135,0.45
237,public,374253,129345,0.11
238,called,372454,167176,0.01
239,call,371200,140961,0.1
240,white,369417,117656,0.43
241,case,360937,133813,0.04
242,talk,360840,126037,0.08
243,course,360346,147977,0.02
244,percent,357621,93532,0.01
245,done,356752,152291,0.02
246,gon,355454,38230,0.03
247,times,354347,166510,0.19
248,actually,354125,138634,0.11
249,days,353629,160294,0.03
250,real,350225,145436,0.07
251,fact,349683,147896,0.02
252,men,348932,102427,0.09
253,took,347307,151036,0.01
254,care,347161,116136,0.06
255,number,341916,142525,0.05
256,head,340656,127681,0.05
257,less,339506,153689,0.03
258,yet,338754,158816,0.22
259,second,336773,153502,0.13
260,system,335054,108639,0.05
261,important,331815,146217,0.01
262,far,331811,158756,0.04
263,hey,331260,53774,0.87
264,someone,329132,127106,0.1
265,trying,329076,142605,0.03
266,getting,327697,149473,0.06
267,change,327055,137702,0.05
268,week,326765,147122,0.05
269,set,326720,158258,0.05
270,however,326201,132567,0.47
271,water,324518,89138,0.07
272,business,324265,119578,0.09
273,everything,324150,135571,0.15
274,small,323880,143796,0.05
275,room,323298,110352,0.07
276,wanted,322608,126543,0.02
277,least,322283,159075,0.01
278,national,322172,120811,0.49
279,thank,320990,85538,0.67
280,story,319852,119703,0.05
281,power,319416,108560,0.09
282,group,319261,122884,0.11
283,four,319239,154374,0.11
284,mother,318786,86790,0.13
285,having,318644,151384,0.09
286,name,317460,124769,0.04
287,woman,317165,94966,0.13
288,war,316609,82160,0.31
289,information,314377,107726,0.08
290,problem,314233,125707,0.03
291,job,313048,121679,0.03
292,later,312118,149260,0.1
293,already,311672,150908,0.03
294,game,311458,89053,0.09
295,black,310554,94023,0.28
296,hard,308390,146196,0.04
297,making,308163,158842,0.05
298,looking,306321,138810,0.07
299,asked,304978,125665,0.02
300,million,304230,105293,0.01
301,book,303554,89523,0.08
302,together,303489,140715,0.04
303,face,303463,120096,0.04
304,health,300735,76642,0.21
305,united,300092,94532,0.97
306,question,299932,121890,0.04
307,hand,299551,117364,0.03
308,father,299459,80122,0.15
309,person,297524,120886,0.02
310,young,296724,120840,0.13
311,often,295831,138467,0.04
312,ago,295541,147321,0.01
313,seen,294380,138346,0.01
314,past,293944,148467,0.02
315,social,290452,79260,0.18
316,news,289547,118852,0.36
317,bad,286991,120515,0.07
318,play,286696,117306,0.04
319,try,286552,133259,0.1
320,coming,286229,130411,0.08
321,company,285648,95116,0.1
322,others,285353,136390,0.08
323,side,285004,126570,0.05
324,team,284873,92378,0.07
325,read,282747,112610,0.09
326,whether,281137,132513,0.1
327,able,279622,140575,0.01
328,almost,279516,142341,0.08
329,political,279516,78402,0.05
330,live,279002,126287,0.08
331,knew,278209,104388,0.01
332,law,277444,80730,0.14
333,become,276547,143957,0.01
334,start,275954,138043,0.07
335,saying,274341,114504,0.02
336,open,273322,126026,0.13
337,working,272206,134947,0.06
338,whole,271161,127158,0.03
339,support,270982,109557,0.03
340,stop,270980,111083,0.19
341,york,270647,102546,1.0
342,five,270338,138364,0.12
343,probably,269897,129416,0.08
344,saw,269465,111916,0.02
345,among,267844,123994,0.13
346,using,267406,118165,0.09
347,research,266341,80568,0.21
348,guy,264953,81772,0.07
349,idea,264893,122573,0.02
350,run,264197,125823,0.06
351,makes,263882,136760,0.06
352,early,262854,131593,0.08
353,else,262260,120463,0.01
354,including,261876,141787,0.01
355,study,261496,72760,0.06
356,john,261313,92565,0.99
357,understand,261063,113505,0.02
358,top,260825,129694,0.11
359,human,257774,89346,0.11
360,university,256738,95638,0.81
361,talking,256696,103543,0.03
362,free,256574,112434,0.13
363,along,255995,135693,0.05
364,within,255537,114766,0.08
365,history,253704,108097,0.12
366,morning,253007,101764,0.1
367,eyes,251908,81280,0.03
368,several,251581,133143,0.11
369,line,248583,119590,0.06
370,ask,247925,111110,0.08
371,mind,247644,112446,0.04
372,please,247643,80651,0.45
373,program,247198,85558,0.09
374,across,246968,118512,0.04
375,kids,244758,79264,0.07
376,car,244677,72858,0.04
377,behind,244552,119645,0.06
378,party,243697,76169,0.27
379,child,242585,74727,0.07
380,america,241743,93809,0.99
381,everyone,241508,115652,0.19
382,body,240278,88483,0.04
383,remember,239818,102862,0.17
384,example,239716,103765,0.02
385,sorry,237629,61143,0.28
386,hear,237525,101040,0.03
387,control,237510,98723,0.08
388,given,237413,122709,0.11
389,rather,236879,115184,0.11
390,means,235361,119742,0.02
391,data,235073,55131,0.09
392,obama,235051,34259,0.99
393,started,234505,118195,0.01
394,office,234258,100194,0.18
395,True,233940,112473,0.08
396,community,233823,83872,0.11
397,wrong,233691,99836,0.04
398,months,232486,118919,0.01
399,friends,232421,103899,0.06
400,general,231978,98035,0.32
401,matter,231673,115010,0.02
402,move,231115,115302,0.08
403,education,230502,57877,0.21
404,food,230398,80474,0.11
405,heard,230159,102787,0.02
406,looked,228872,82743,0.01
407,either,228847,122169,0.07
408,himself,228764,94495,0.02
409,happened,227942,97805,0.01
410,s,227885,58547,0.36
411,large,227659,109487,0.03
412,guys,226717,70595,0.08
413,sense,225488,109742,0.02
414,center,225284,105387,0.49
415,pay,223592,96534,0.04
416,leave,223458,105840,0.09
417,order,222743,106458,0.06
418,music,222578,56549,0.15
419,pretty,222515,104359,0.07
420,taking,221429,125838,0.06
421,police,220863,59753,0.19
422,process,220128,93597,0.02
423,turn,219696,119859,0.08
424,comes,219194,123501,0.02
425,lost,219171,112201,0.06
426,wo,218749,104404,0.03
427,future,218731,106531,0.07
428,court,217929,57715,0.38
429,table,216451,71054,0.39
430,half,215810,114622,0.06
431,close,215779,118002,0.06
432,hope,215553,108051,0.1
433,light,215115,91704,0.08
434,minutes,214828,89825,0.04
435,seems,214690,110008,0.04
436,parents,214632,71513,0.06
437,possible,213993,114983,0.02
438,reason,213979,112067,0.02
439,bit,213633,105965,0.01
440,experience,213126,98296,0.03
441,area,213061,98747,0.08
442,words,212573,95825,0.03
443,although,212476,103906,0.53
444,wait,211573,80796,0.34
445,door,210291,70846,0.02
446,felt,210159,88577,0.01
447,according,209849,111767,0.33
448,air,209488,85869,0.21
449,full,208839,118629,0.05
450,deal,208688,102185,0.05
451,anyone,208054,104781,0.1
452,death,207846,82776,0.09
453,local,206626,93603,0.06
454,hours,205369,102516,0.03
455,thanks,204900,84797,0.62
456,issue,203757,90560,0.02
457,stay,203720,99721,0.16
458,age,203043,90085,0.12
459,front,202648,98597,0.04
460,sometimes,201959,106341,0.3
461,instead,201311,116320,0.32
462,moment,200434,92506,0.02
463,living,199745,99597,0.07
464,college,199358,74865,0.29
465,girl,198734,62905,0.1
466,needs,198688,102150,0.02
467,ok,198588,44102,0.88
468,plan,198585,88776,0.08
469,turned,198282,96823,0.01
470,dr,197700,45106,0.99
471,bring,197531,109989,0.09
472,level,197090,90045,0.03
473,major,196857,102810,0.1
474,washington,196538,80890,1.0
475,clear,195945,108233,0.05
476,bill,195178,66012,0.57
477,outside,195161,107524,0.06
478,service,194554,81911,0.23
479,heart,193295,87879,0.08
480,friend,193156,84950,0.03
481,taken,192392,111627,0.02
482,hands,192095,85642,0.04
483,perhaps,191562,97430,0.33
484,six,191532,109394,0.12
485,season,191277,64486,0.06
486,members,191203,85483,0.04
487,known,190820,111616,0.02
488,word,190792,87667,0.08
489,problems,190571,89715,0.02
490,cut,190431,89526,0.14
491,thinking,189977,93289,0.04
492,based,189319,94499,0.08
493,likely,189242,96490,0.01
494,street,189237,79175,0.49
495,security,188741,63118,0.3
496,son,188676,70211,0.1
497,gave,188373,101105,0.01
498,themselves,188302,99578,0.0
499,late,188229,106555,0.06
500,al,188126,33514,0.37
501,inside,187262,91401,0.1
502,looks,186718,86859,0.11
503,especially,186167,109621,0.09
504,former,185116,94937,0.08
505,federal,185072,60922,0.25
506,market,184329,65180,0.08
507,began,183906,94106,0.0
508,myself,183352,79681,0.01
509,nice,182801,76811,0.21
510,wife,182510,73530,0.03
511,quite,181484,97561,0.05
512,gone,181366,94371,0.04
513,finally,181335,101886,0.3
514,toward,180798,83965,0.02
515,military,180732,48486,0.06
516,m,179994,31002,0.47
517,fine,179869,80015,0.18
518,report,179251,78904,0.12
519,dead,178826,71592,0.09
520,hold,178476,95098,0.18
521,questions,178450,86202,0.04
522,special,176898,92957,0.14
523,baby,176885,53673,0.13
524,cause,176415,81577,0.16
525,south,175902,73265,0.74
526,policy,175808,60369,0.11
527,issues,175449,79835,0.03
528,phone,175412,66542,0.06
529,soon,175313,101850,0.11
530,boy,175244,61361,0.15
531,hit,175189,89529,0.05
532,north,173610,72877,0.73
533,economic,172193,54128,0.09
534,lives,171665,95841,0.03
535,couple,170729,92139,0.02
536,rest,170462,98610,0.03
537,church,170288,39991,0.36
538,goes,169968,97129,0.02
539,red,169942,75157,0.31
540,class,169413,65177,0.1
541,development,168430,61228,0.14
542,act,168327,79369,0.35
543,above,167379,86941,0.06
544,figure,167305,75458,0.29
545,watch,167009,85347,0.19
546,middle,166975,84580,0.29
547,simply,166619,92302,0.04
548,happen,166053,90436,0.01
549,wants,165971,88846,0.02
550,sort,164890,78259,0.03
551,personal,164361,85924,0.05
552,running,164149,90011,0.04
553,needed,164121,96261,0.01
554,space,163859,65247,0.12
555,tried,163851,88657,0.01
556,form,163771,83398,0.04
557,easy,163585,97149,0.08
558,department,163040,72015,0.66
559,exactly,162866,88277,0.15
560,view,162660,82372,0.08
561,art,162357,48797,0.26
562,media,162182,63584,0.11
563,building,161919,78081,0.1
564,evidence,161481,62607,0.04
565,field,161428,73583,0.12
566,seem,161032,93906,0.01
567,ways,160902,94129,0.03
568,provide,160643,82395,0.01
569,energy,160492,53253,0.14
570,alone,160446,87743,0.03
571,ready,160274,84828,0.09
572,yourself,160068,74688,0.02
573,weeks,160064,93238,0.02
574,answer,159150,83371,0.06
575,became,158671,87537,0.01
576,voice,158537,62696,0.08
577,happy,158440,79383,0.13
578,gets,157928,89806,0.02
579,reading,157852,62818,0.1
580,international,157811,62607,0.39
581,guess,157705,73593,0.09
582,uh,157193,21099,0.5
583,certain,157126,88354,0.03
584,town,156933,68866,0.08
585,meet,156088,84940,0.07
586,role,155917,76338,0.03
587,results,155848,64788,0.11
588,longer,155758,94737,0.01
589,worked,155303,92215,0.01
590,itself,155036,84011,0.0
591,third,154272,88653,0.15
592,whatever,154083,84346,0.24
593,following,153672,88327,0.09
594,single,153374,88250,0.03
595,rights,153285,51348,0.14
596,tax,153145,35672,0.06
597,stuff,153066,72679,0.03
598,groups,152959,61111,0.02
599,short,152817,93011,0.05
600,takes,152292,92531,0.02
601,strong,152080,90092,0.04
602,per,151895,63813,0.07
603,force,151879,72716,0.19
604,brought,151780,90782,0.01
605,recent,151685,94985,0.06
606,available,151451,79930,0.04
607,current,151317,80908,0.06
608,post,151295,66749,0.3
609,fire,150769,62007,0.15
610,science,150604,50257,0.28
611,society,150423,59672,0.24
612,bush,150246,37308,0.95
613,feet,150166,66703,0.02
614,works,150022,85044,0.06
615,month,149669,89649,0.03
616,mom,149324,42573,0.44
617,americans,148758,59144,0.99
618,road,148290,67330,0.23
619,interest,147610,75633,0.03
620,whose,147526,90146,0.03
621,david,147332,58847,0.99
622,chance,147167,88001,0.03
623,student,147156,46203,0.09
624,companies,146935,51687,0.04
625,held,146539,82984,0.01
626,higher,146037,67879,0.05
627,oil,145847,37292,0.08
628,break,145817,79228,0.1
629,buy,145555,74135,0.08
630,west,145535,65621,0.78
631,attention,144867,85837,0.03
632,seemed,144659,68547,0.01
633,win,144540,65222,0.04
634,campaign,144517,50056,0.05
635,cost,144218,67591,0.05
636,dad,144084,38290,0.48
637,near,143600,85846,0.05
638,services,143284,56630,0.18
639,lead,143168,85080,0.03
640,sound,143111,72294,0.08
641,learn,143056,79516,0.06
642,points,142678,69316,0.03
643,ground,142675,72814,0.04
644,low,142248,73727,0.06
645,common,141906,76883,0.07
646,position,141856,74036,0.02
647,upon,141469,68043,0.06
648,private,141288,67509,0.08
649,list,140596,72645,0.05
650,series,140280,69052,0.15
651,continue,140006,85262,0.03
652,director,139647,74412,0.2
653,hair,139560,52132,0.04
654,listen,139530,61731,0.36
655,land,139516,57777,0.12
656,test,138439,55668,0.08
657,stand,138407,79111,0.08
658,press,138389,65112,0.39
659,film,138312,38298,0.07
660,knows,138276,78444,0.02
661,certainly,138270,78435,0.12
662,share,138270,83175,0.1
663,nearly,138053,88526,0.08
664,result,138010,78006,0.02
665,further,137949,78420,0.12
666,action,137590,69296,0.09
667,fall,137394,84981,0.07
668,check,137264,75510,0.2
669,blood,137156,51457,0.09
670,shot,137040,63966,0.04
671,situation,137010,73680,0.02
672,relationship,136943,60380,0.02
673,king,136906,40913,0.75
674,everybody,136648,64858,0.26
675,difficult,136621,84441,0.01
676,medical,136560,50889,0.2
677,studies,136505,46642,0.17
678,site,136419,58404,0.04
679,model,135946,49126,0.09
680,games,135928,48152,0.12
681,killed,135583,57869,0.02
682,truth,135265,62342,0.09
683,county,135138,44193,0.72
684,vote,135107,40901,0.04
685,books,134900,55770,0.11
686,article,134755,55331,0.11
687,earth,134547,49692,0.55
688,schools,134479,41061,0.08
689,record,134004,69392,0.06
690,tonight,133549,45974,0.18
691,playing,133358,74038,0.04
692,terms,133280,69858,0.03
693,movie,133244,44992,0.04
694,risk,133195,56616,0.04
695,video,133137,51453,0.19
696,nation,132797,63521,0.15
697,husband,132730,53510,0.02
698,return,132680,76729,0.05
699,technology,132559,49379,0.15
700,present,132265,68426,0.03
701,hell,132107,48458,0.17
702,key,131612,76024,0.11
703,kill,131283,51380,0.08
704,project,131215,57247,0.18
705,individual,131162,59064,0.04
706,nature,131011,62109,0.13
707,effect,130900,63625,0.04
708,shows,130823,77158,0.02
709,involved,130563,76491,0.01
710,decision,130462,66121,0.02
711,forward,130319,74915,0.03
712,photo,130219,45948,0.63
713,programs,129954,47899,0.04
714,park,129764,49397,0.6
715,writing,129466,57513,0.07
716,similar,129333,75485,0.05
717,met,129149,74465,0.03
718,congress,129070,42130,0.95
719,green,128989,58358,0.33
720,fight,128921,63043,0.05
721,fun,128810,66501,0.05
722,spent,128547,81705,0.01
723,step,128479,75152,0.13
724,wrote,128260,67443,0.01
725,create,128182,74710,0.04
726,feeling,128089,72203,0.04
727,teachers,128017,25120,0.1
728,dark,127612,58665,0.11
