rank,lemma,PoS,freq,perMil,disp
175,yes,u,537066,540.84,0.94
176,house,n,537037,540.81,0.97
177,show,v,536889,540.66,0.98
178,again,r,530706,534.43,0.97
179,student,n,530196,533.92,0.85
180,so,c,523232,526.91,0.98
181,seem,v,522940,526.61,0.98
182,might,v,521992,525.66,0.99
183,part,n,517693,521.33,0.98
184,hear,v,516483,520.11,0.97
185,its,a,511922,515.52,0.89
186,place,n,508803,512.38,0.99
187,problem,n,504175,507.72,0.97
188,where,c,500755,504.27,0.98
189,believe,v,500511,504.03,0.98
190,country,n,499369,502.88,0.96
191,always,r,492943,496.41,0.99
192,week,n,484834,488.24,0.97
193,point,n,484094,487.5,0.97
194,hand,n,481332,484.71,0.94
195,off,r,479459,482.83,0.98
196,play,v,478740,481.38,0.98
197,turn,v,477668,481.02,0.96
198,few,d,472804,476.13,0.98
199,group,n,470971,474.28,0.94
200,such,d,468655,471.95,0.96
201,against,i,467705,470.99,0.97
202,run,v,465066,468.33,0.98
203,guy,n,464082,467.34,0.96
204,about,r,462995,466.25,0.98
205,case,n,458383,461.6,0.97
206,question,n,457301,460.51,0.97
207,work,n,456169,459.37,0.98
208,night,n,452094,455.27,0.97
209,live,v,450380,453.54,0.99
210,game,n,445149,448.28,0.94
211,number,n,444412,447.53,0.97
212,write,v,439865,442.96,0.97
213,bring,v,439445,442.53,0.99
214,without,i,438567,441.65,0.98
215,money,n,437583,440.66,0.98
216,lot,n,437545,440.62,0.95
217,most,d,435849,438.91,0.97
218,book,n,435387,438.45,0.96
219,system,n,435303,438.36,0.95
220,government,n,434971,435.48,0.95
221,next,m,433864,436.91,0.98
222,city,n,433843,436.89,0.96
223,company,n,432469,435.51,0.94
224,story,n,432184,435.22,0.97
225,today,r,431562,434.59,0.96
226,job,n,430995,434.02,0.98
227,move,v,430324,433.35,0.99
228,must,v,427796,430.8,0.98
229,bad,j,426558,429.56,0.98
230,friend,n,423755,426.73,0.99
231,during,i,423624,426.6,0.95
232,begin,v,421878,424.84,0.97
233,love,v,417532,420.47,0.97
234,each,d,414659,417.57,0.95
235,hold,v,413837,416.74,0.98
236,different,j,413578,416.48,0.97
