rank,lemma,PoS,freq,perMil,disp
785,agency,n,123524,124.39,0.94
786,usually,r,123303,124.17,0.97
787,significant,j,123040,123.9,0.89
788,help,n,123017,123.88,0.99
789,ability,n,122943,123.81,0.94
790,mile,n,122899,123.76,0.96
791,statement,n,122852,123.72,0.95
792,entire,j,122397,123.26,0.98
793,democrat,n,122325,123.18,0.9
794,floor,n,122291,123.15,0.94
795,serious,j,122251,123.11,0.99
796,career,n,122177,122.21,0.96
797,dollar,n,121984,122.84,0.97
798,vote,v,121578,122.43,0.93
799,sex,n,121352,122.2,0.98
800,compare,v,120978,121.83,0.94
801,south,n,120894,121.74,0.96
802,forward,r,120845,121.72,0.97
803,subject,n,120773,121.62,0.92
804,financial,j,120726,121.57,0.94
805,identify,v,120690,121.54,0.91
806,beautiful,j,120679,121.53,0.98
807,decade,n,120539,121.39,0.95
808,bit,n,120467,121.31,0.97
809,reduce,v,120399,121.24,0.94
810,sister,n,120346,118.94,0.96
811,quality,n,120236,121.08,0.94
812,quickly,r,120136,120.98,0.97
813,act,v,119650,120.49,0.98
814,press,n,119485,120.32,0.94
815,worry,v,119256,120.09,0.98
816,accept,v,119245,120.08,0.98
817,enter,v,119119,119.96,0.97
818,mention,v,119033,119.87,0.97
819,sound,n,119028,119.86,0.95
820,thus,r,118653,119.49,0.89
821,plant,n,118323,119.15,0.94
822,movement,n,118118,118.95,0.95
823,scene,n,118003,118.83,0.98
824,section,n,117170,117.99,0.91
825,treatment,n,116893,117.71,0.92
826,wish,v,116884,117.71,0.98
827,benefit,n,116806,117.63,0.95
828,interesting,j,116773,117.59,0.95
829,west,n,116683,117.5,0.96
830,candidate,n,116347,117.16,0.92
831,approach,n,116173,116.99,0.91
832,determine,v,116138,116.95,0.93
833,resource,n,116078,116.89,0.92
834,claim,v,116020,116.84,0.96
835,answer,v,115956,116.77,0.97
836,prove,v,115910,116.72,0.98
837,sort,n,115486,116.3,0.96
838,enough,d,115462,116.27,0.98
839,size,n,115388,116.2,0.95
840,somebody,p,115363,116.17,0.94
841,knowledge,n,115356,116.17,0.91
842,rather,r,115104,115.91,0.97
843,hang,v,114959,115.77,0.96
844,sport,n,114894,115.7,0.94
845,tv,n,114859,115.67,0.97
846,loss,n,114630,115.44,0.96
847,argue,v,114425,115.23,0.95
848,left,j,114320,115.12,0.97
849,note,n,114251,115.05,0.91
850,meeting,n,114209,115.01,0.97
851,skill,n,113912,114.71,0.9
852,card,n,113472,114.27,0.98
853,feeling,n,113414,114.21,0.99
854,despite,i,113257,114.05,0.96
855,degree,n,113046,113.84,0.95
856,crime,n,112978,113.77,0.96
857,that,r,112903,113.7,0.99
858,sign,n,112603,113.39,0.98
859,occur,v,112575,113.37,0.94
860,imagine,v,112572,113.36,0.97
861,vote,n,112405,113.19,0.93
862,near,i,112214,113.0,0.96
863,king,n,112088,112.88,0.96
864,box,n,112035,112.82,0.97
865,present,v,111731,112.52,0.93
866,figure,v,111647,112.43,0.99
867,seven,m,111646,112.43,0.98
868,foreign,j,111509,112.29,0.94
869,laugh,v,111440,112.22,0.93
870,disease,n,111433,112.22,0.93
871,lady,n,111384,112.17,0.96
872,beyond,i,111221,112.0,0.97
873,discuss,v,111181,111.96,0.96
874,finish,v,111094,111.87,0.98
875,design,n,111026,111.81,0.93
876,concern,n,110976,111.76,0.95
877,ball,n,110770,111.55,0.97
878,east,n,110589,111.37,0.96
879,recognize,v,110405,111.18,0.96
880,apply,v,110328,111.1,0.94
881,prepare,v,110266,111.04,0.98
882,network,n,110210,110.98,0.95
883,huge,j,110088,110.86,0.97
884,success,n,110030,110.8,0.96
885,district,n,109941,110.71,0.91
886,cup,n,109915,112.65,0.88
887,name,v,109851,110.62,0.98
888,physical,j,109576,110.35,0.92
889,growth,n,109567,110.34,0.94
890,rise,v,109035,109.8,0.96
891,hi,u,108665,109.43,0.91
892,standard,n,107818,108.58,0.93
893,force,v,107636,108.39,0.97
894,sign,v,107633,108.39,0.96
895,fan,n,107631,108.39,0.95
896,theory,n,107486,108.24,0.92
897,staff,n,107396,108.15,0.95
898,hurt,v,107262,108.02,0.98
899,legal,j,107134,107.89,0.95
900,september,n,106932,107.68,0.71
901,set,n,106920,107.67,0.96
902,outside,i,106572,107.32,0.98
903,et,r,106546,107.29,0.7
904,strategy,n,106236,106.98,0.91
905,clearly,r,105965,106.71,0.97
906,property,n,105851,106.59,0.95
907,lay,v,105812,106.56,0.96
908,final,j,105688,106.43,0.97
909,authority,n,105586,106.33,0.95
910,perfect,j,105560,106.3,0.98
911,method,n,105544,106.29,0.89
912,region,n,105382,106.12,0.93
913,since,i,105367,106.11,0.95
914,impact,n,105330,106.07,0.94
915,indicate,v,105304,106.04,0.89
916,safe,j,105273,105.67,0.99
917,committee,n,105133,105.87,0.94
918,supposed,j,105037,105.78,0.98
919,dream,n,104797,105.53,0.98
920,training,n,104563,105.3,0.94
921,shit,n,104498,105.23,0.85
922,central,j,104403,105.14,0.95
923,option,n,104245,104.98,0.96
924,eight,m,104060,104.79,0.97
925,particularly,r,104018,104.75,0.95
926,completely,r,103941,104.67,0.97
927,opinion,n,103920,104.65,0.95
928,main,j,103803,104.53,0.97
929,ten,m,103677,104.41,0.97
930,interview,n,103566,104.29,0.95
931,exist,v,103550,104.28,0.96
932,remove,v,103480,104.21,0.97
933,dark,j,103384,104.11,0.93
934,play,n,103352,104.08,0.96
935,union,n,102805,103.53,0.94
936,professor,n,102741,103.46,0.97
937,pressure,n,102669,103.39,0.97
938,purpose,n,102642,103.36,0.94
939,stage,n,102611,103.33,0.97
940,blue,j,102172,102.89,0.95
941,herself,p,102154,102.87,0.9
942,sun,n,102043,102.76,0.95
943,pain,n,101918,102.63,0.98
944,artist,n,101861,102.58,0.94
945,employee,n,101818,102.53,0.95
946,avoid,v,101794,102.51,0.97
947,account,n,101683,102.4,0.96
948,release,v,101668,102.38,0.96
949,fund,n,101503,102.22,0.92
950,environment,n,101479,102.19,0.92
951,treat,v,101438,102.15,0.98
952,specific,j,101222,101.93,0.92
953,version,n,101091,101.8,0.95
954,shot,n,101016,101.73,0.98
955,hate,v,100757,101.46,0.97
956,reality,n,100700,101.41,0.96
957,visit,v,100463,101.17,0.97
958,club,n,100411,101.12,0.96
959,justice,n,100360,101.07,0.95
960,river,n,100270,100.97,0.95
961,brain,n,100235,100.94,0.97
962,memory,n,100235,100.94,0.97
963,rock,n,100028,100.73,0.97
964,talk,n,99986,100.69,0.97
965,camera,n,99855,100.56,0.96
966,global,j,99848,100.55,0.94
967,various,j,99838,100.54,0.94
968,arrive,v,99819,100.52,0.97
969,notice,v,99709,100.41,0.96
970,bit,r,99520,100.22,0.97
971,detail,n,99477,100.18,0.97
972,challenge,n,99455,100.15,0.95
973,argument,n,99403,100.1,0.94
974,lot,r,99278,99.98,0.96
975,nobody,p,99029,99.72,0.97
976,weapon,n,98828,99.52,0.96
977,best,r,98807,99.5,0.98
978,station,n,98720,99.41,0.97
979,island,n,98596,99.29,0.97
980,absolutely,r,98574,99.27,0.93
981,instead,r,98540,99.23,0.97
982,discussion,n,98359,99.05,0.93
983,instead,i,98231,98.92,0.97
984,affect,v,98073,98.76,0.95
985,design,v,97967,98.66,0.95
986,little,d,97858,98.55,0.98
987,anyway,r,97831,98.52,0.97
988,respond,v,97750,98.44,0.97
989,control,v,97504,98.19,0.97
990,trouble,n,97439,98.12,0.98
991,conversation,n,97193,97.88,0.97
992,manage,v,97135,97.82,0.97
993,close,r,97117,97.8,0.97
994,date,n,97094,97.78,0.98
995,public,n,97031,97.71,0.96
996,army,n,97025,97.71,0.96
997,top,j,96997,97.68,0.95
998,post,v,96926,97.61,0.86
999,charge,n,96872,97.55,0.96
1000,seat,n,96853,97.53,0.96
1001,assume,v,96840,97.52,0.97
1002,writer,n,96279,96.96,0.96
1003,perform,v,96202,96.88,0.95
1004,credit,n,95981,96.66,0.96
1005,green,j,95937,96.61,0.96
1006,marriage,n,95885,96.56,0.97
1007,operation,n,95878,96.55,0.96
1008,indeed,r,95860,96.53,0.96
1009,sleep,v,95600,96.27,0.95
1010,necessary,j,95580,96.25,0.95
1011,reveal,v,95401,96.07,0.95
1012,agent,n,95371,96.04,0.98
1013,access,n,95371,96.04,0.95
1014,bar,n,95305,95.97,0.97
1015,debate,n,95244,95.91,0.93
1016,leg,n,95185,95.85,0.93
1017,contain,v,95143,95.81,0.94
1018,beat,v,94941,95.61,0.98
1019,cool,j,94920,91.4,0.97
1020,democratic,j,94862,95.53,0.93
1021,cold,j,94856,95.52,0.96
1022,glass,n,94803,95.47,0.92
1023,improve,v,94764,95.43,0.94
1024,adult,n,94547,95.21,0.95
1025,trade,n,94509,95.17,0.94
1026,religious,j,94485,95.15,0.93
1027,head,v,94408,95.07,0.97
1028,review,n,94364,95.03,0.92
1029,kind,r,94334,95.0,0.91
1030,address,v,94155,94.82,0.94
1031,association,n,94100,94.76,0.92
1032,measure,n,93952,94.61,0.9
1033,stock,n,93809,94.47,0.92
1034,gas,n,93763,94.42,0.97
1035,deep,j,93753,94.41,0.97
1036,lawyer,n,93526,94.18,0.96
1037,production,n,93507,94.16,0.94
1038,relate,v,93433,94.09,0.91
1039,middle,j,93428,94.08,0.95
1040,management,n,93289,93.94,0.92
1041,original,j,93230,93.89,0.96
1042,victim,n,93207,93.86,0.97
1043,cancer,n,93157,93.81,0.94
1044,speech,n,92837,93.49,0.95
1045,particular,j,92775,93.43,0.94
1046,trial,n,92762,93.41,0.95
1047,none,p,92729,93.38,0.99
1048,item,n,92545,93.14,0.93
1049,weight,n,92516,93.17,0.95
1050,tomorrow,r,92490,93.16,0.95
1051,step,v,92268,92.92,0.95
1052,positive,j,92223,92.87,0.93
1053,form,v,92198,92.85,0.96
1054,citizen,n,92182,92.83,0.95
1055,study,v,92101,92.75,0.97
1056,trip,n,91830,92.48,0.98
1057,establish,v,91776,92.42,0.93
1058,executive,n,91696,92.34,0.92
1059,politics,n,91621,92.26,0.95
1060,stick,v,91597,92.24,0.98
1061,customer,n,91563,92.21,0.95
1062,manager,n,91527,92.17,0.94
1063,rather,i,91475,92.12,0.94
1064,publish,v,91441,92.08,0.95
1065,popular,j,91435,92.08,0.96
1066,sing,v,91395,92.04,0.97
1067,ahead,r,91325,91.97,0.95
1068,conference,n,91185,91.83,0.96
1069,total,j,91071,91.71,0.95
1070,discover,v,90959,91.6,0.97
1071,fast,r,90956,91.6,0.98
1072,base,n,90915,91.55,0.97
1073,direction,n,90826,91.46,0.97
1074,sunday,n,90771,91.41,0.84
1075,maintain,v,90737,91.37,0.95
1076,past,n,90674,91.31,0.98
1077,majority,n,90548,91.18,0.95
1078,peace,n,90518,91.15,0.96
1079,dinner,n,90516,91.15,0.97
1080,partner,n,90455,90.98,0.98
1081,user,n,90342,90.98,0.91
1082,above,i,90318,90.95,0.96
1083,fly,v,90236,90.87,0.97
1084,bag,n,90234,90.87,0.95
1085,therefore,r,89981,90.61,0.91
1086,rich,j,89706,90.34,0.98
1087,individual,j,89686,90.32,0.92
1088,tough,j,89612,90.24,0.96
1089,owner,n,89612,90.24,0.95
1090,shall,v,89582,90.21,0.87
1091,inside,i,89494,90.12,0.96
1092,voter,n,89245,89.87,0.92
1093,tool,n,89236,89.86,0.94
1094,june,n,89233,89.86,0.72
1095,far,j,89074,89.7,0.97
1096,may,n,88994,89.62,0.72
1097,mountain,n,88984,89.61,0.95
1098,range,n,88892,89.52,0.94
1099,coach,n,88826,89.45,0.91
1100,fear,n,88724,89.35,0.98
1101,friday,n,88632,89.25,0.7
1102,attorney,n,88616,89.24,0.92
1103,unless,c,88605,89.23,0.98
1104,nor,c,88431,89.05,0.95
1105,expert,n,88134,88.75,0.96
1106,structure,n,88114,88.73,0.91
1107,budget,n,88084,88.7,0.93
1108,insurance,n,88036,88.65,0.95
1109,text,n,87811,88.43,0.9
1110,freedom,n,87806,88.42,0.96
1111,crazy,j,87804,88.42,0.96
1112,reader,n,87422,88.04,0.93
1113,style,n,87244,87.86,0.95
1114,through,r,87238,87.85,0.98
1115,march,n,87215,87.83,-4.46
1116,machine,n,87156,87.77,0.97
1117,november,n,87108,87.72,0.83
1118,generation,n,87071,87.68,0.96
1119,income,n,86902,87.51,0.94
1120,born,v,86829,87.44,0.98
1121,admit,v,86631,87.24,0.98
1122,hello,u,86614,87.22,0.9
1123,onto,i,86605,87.21,0.93
1124,sea,n,86544,87.15,0.97
1125,okay,j,86529,87.14,0.89
1126,mouth,n,86406,87.01,0.91
1127,throughout,i,86381,86.99,0.95
1128,own,v,86371,86.98,0.97
1129,test,v,86155,86.76,0.96
1130,web,n,85868,86.47,0.93
1131,shake,v,85841,86.44,0.88
1132,threat,n,85754,86.36,0.96
1133,solution,n,85661,86.26,0.95
1134,shut,v,85625,86.23,0.96
1135,down,i,85515,86.12,0.95
1136,travel,v,85441,86.04,0.98
1137,scientist,n,85428,86.03,0.94
1138,hide,v,85395,86.0,0.97
1139,obviously,r,85364,85.96,0.95
1140,refer,v,85212,85.81,0.95
1141,alone,r,85036,85.63,0.98
1142,drink,v,84895,85.49,0.97
1143,investigation,n,84783,85.38,0.92
1144,senator,n,84544,85.14,0.86
1145,unit,n,84518,85.11,0.96
1146,photograph,n,84476,85.07,0.79
1147,july,n,84439,85.03,0.69
1148,television,n,84433,85.03,0.95
1149,key,j,84228,84.82,0.95
1150,sexual,j,84220,84.81,0.92
1151,radio,n,84218,84.81,0.97
1152,prevent,v,84179,84.77,0.96
1153,once,c,84165,84.76,0.98
1154,modern,j,83945,84.53,0.95
1155,senate,n,83931,84.52,0.91
1156,violence,n,83882,84.47,0.95
1157,touch,v,83871,84.46,0.95
1158,feature,n,83853,84.44,0.94
1159,audience,n,83493,84.08,0.96
1160,evening,n,83312,83.9,0.96
1161,whom,p,83267,83.85,0.97
1162,front,i,83180,83.76,0.95
1163,hall,n,82960,83.54,0.95
1164,task,n,82839,83.42,0.92
1165,score,n,82738,83.32,0.88
1166,skin,n,82598,83.18,0.94
1167,suffer,v,82579,83.16,0.97
1168,wide,j,82565,83.11,0.96
1169,spring,n,82557,83.14,0.94
1170,experience,v,82550,83.13,0.95
1171,civil,j,82544,83.12,0.95
1172,safety,n,82535,83.11,0.96
1173,weekend,n,82429,83.01,0.96
1174,while,n,82196,82.77,0.97
1175,worth,i,82178,82.76,0.98
1176,title,n,82165,82.74,0.94
1177,heat,n,82112,82.69,0.93
1178,normal,j,82076,82.65,0.98
1179,hope,n,81896,82.47,0.98
1180,yard,n,81852,82.43,0.94
1181,finger,n,81817,82.39,0.89
1182,tend,v,81665,82.24,0.95
1183,mission,n,81524,82.1,0.98
1184,eventually,r,81481,82.05,0.97
1185,participant,n,81371,81.94,0.79
1186,hotel,n,81364,81.94,0.96
1187,judge,n,81312,81.88,0.95
1188,pattern,n,81097,81.67,0.92
1189,break,n,81057,81.63,0.89
1190,institution,n,80998,81.57,0.91
1191,faith,n,80912,81.48,0.96
1192,professional,j,80903,81.47,0.94
1193,reflect,v,80851,81.42,0.93
1194,folk,n,80843,81.41,0.96
1195,surface,n,80819,81.39,0.94
1196,fall,n,80585,81.15,0.96
1197,client,n,80584,81.15,0.96
1198,edge,n,80577,81.14,0.94
1199,traditional,j,80470,81.04,0.93
1200,council,n,80469,81.03,0.94
1201,device,n,80398,80.96,0.95
1202,firm,n,80364,80.93,0.93
1203,environmental,j,80328,80.89,0.88
1204,responsibility,n,80294,80.86,0.96
1205,chair,n,80186,80.75,0.92
1206,internet,n,80144,80.71,0.93
1207,october,n,80099,80.66,0.78
1208,by,r,80074,80.64,0.98
1209,funny,j,79978,80.49,0.97
1210,immediately,r,79856,80.42,0.98
1211,investment,n,79833,80.39,0.94
1212,ship,n,79715,80.28,0.95
1213,effective,j,79635,80.19,0.93
1214,previous,j,79535,80.09,0.94
1215,content,n,79496,80.05,0.92
1216,consumer,n,79489,80.05,0.94
1217,element,n,79440,80.0,0.92
1218,nuclear,j,79435,79.99,0.94
1219,spirit,n,79123,79.68,0.97
1220,directly,r,79121,79.68,0.96
1221,afraid,j,78979,79.53,0.97
1222,define,v,78953,79.51,0.92
1223,handle,v,78899,79.45,0.99
1224,track,n,78828,79.38,0.97
1225,run,n,78645,79.2,0.95
1226,wind,n,78623,79.18,0.95
1227,lack,n,78587,79.14,0.95
1228,cost,v,78520,79.07,0.96
1229,announce,v,78426,78.98,0.95
1230,journal,n,78364,78.91,0.85
1231,heavy,j,78327,78.88,0.96
1232,ice,n,78316,78.87,0.97
1233,collection,n,78281,78.83,0.94
1234,feed,v,78280,78.83,0.98
1235,soldier,n,78276,78.83,0.96
1236,just,j,78214,78.76,0.97
1237,governor,n,78194,78.74,0.9
1238,fish,n,78114,78.66,0.96
1239,shoulder,n,78062,78.61,0.88
1240,cultural,j,78023,78.57,0.88
1241,successful,j,77999,78.55,0.96
1242,fair,j,77775,78.32,0.98
1243,trust,v,77728,78.27,0.98
1244,suddenly,r,77721,78.27,0.92
1245,future,j,77663,78.21,0.94
1246,interested,j,77632,78.18,0.98
1247,deliver,v,77338,77.88,0.97
1248,saturday,n,77290,77.83,0.72
1249,editor,n,77280,77.82,0.92
1250,fresh,j,77195,77.74,0.94
1251,anybody,p,77150,77.69,0.95
1252,destroy,v,77088,77.63,0.98
1253,claim,n,77050,77.59,0.94
1254,critical,j,77026,77.57,0.93
1255,agreement,n,76793,77.33,0.94
1256,powerful,j,76773,77.31,0.97
1257,researcher,n,76737,77.28,0.89
1258,concept,n,76679,77.22,0.92
1259,willing,j,76629,77.17,0.97
1260,band,n,76423,76.96,0.97
1261,marry,v,76412,76.95,0.98
1262,promise,v,76397,76.93,0.98
1263,easily,r,76348,76.88,0.96
1264,restaurant,n,76197,76.73,0.94
1265,league,n,76178,76.71,0.91
1266,senior,j,76109,76.64,0.94
1267,capital,n,76018,76.55,0.95
1268,anymore,r,75907,76.44,0.97
1269,april,n,75906,76.44,0.8
1270,potential,j,75838,76.37,0.94
1271,etc,r,75726,76.26,0.87
1272,quick,j,75637,76.17,0.98
1273,magazine,n,75615,76.15,0.96
1274,status,n,75577,76.11,0.93
1275,attend,v,75448,75.98,0.96
1276,replace,v,75439,75.97,0.97
1277,due,i,75368,75.9,0.92
1278,hill,n,75365,75.89,0.96
1279,kitchen,n,75167,75.7,0.92
1280,achieve,v,74946,75.47,0.93
1281,screen,n,74705,75.23,0.96
1282,generally,r,74681,75.21,0.94
1283,mistake,n,74643,75.17,0.98
1284,along,r,74461,74.98,0.98
1285,strike,v,74378,74.9,0.98
1286,battle,n,74296,74.82,0.97
1287,spot,n,74296,74.51,0.97
1288,basic,j,74208,74.73,0.94
1289,very,j,74143,74.66,0.97
1290,corner,n,74047,74.57,0.94
1291,target,n,73925,74.44,0.96
1292,driver,n,73902,74.42,0.97
1293,beginning,n,73853,74.37,0.97
1294,religion,n,73744,74.26,0.93
1295,crisis,n,73691,74.21,0.95
1296,count,v,73650,74.17,0.98
1297,museum,n,73559,74.08,0.92
1298,engage,v,73493,74.01,0.94
1299,communication,n,73413,73.93,0.94
1300,murder,n,73388,73.9,0.96
1301,blow,v,73361,73.88,0.97
1302,object,n,73304,73.82,0.93
1303,express,v,73274,73.79,0.95
1304,huh,u,73257,73.77,0.87
1305,encourage,v,73251,73.77,0.95
1306,matter,v,73171,73.69,0.98
1307,blog,n,73163,73.68,0.85
1308,smile,v,73137,73.65,0.84
1309,return,n,73109,73.62,0.96
1310,belief,n,73067,73.58,0.93
1311,block,n,73065,73.58,0.93
1312,debt,n,73015,73.53,0.93
1313,fire,v,72911,73.42,0.98
1314,labor,n,72759,73.27,0.94
1315,understanding,n,72651,73.16,0.92
1316,neighborhood,n,72625,73.14,0.95
1317,contract,n,72568,73.08,0.94
1318,middle,n,72563,73.07,0.98
1319,species,n,72542,73.05,0.91
1320,additional,j,72539,73.05,0.93
1321,sample,n,72489,73.0,0.85
1322,involved,j,72455,72.96,0.96
1323,inside,r,72435,72.94,0.95
1324,mostly,r,72378,72.89,0.97
1325,path,n,72335,72.84,0.97
1326,concerned,j,72309,72.82,0.97
1327,apple,n,72273,72.78,0.93
1328,conduct,v,72181,72.69,0.92
1329,god,n,72022,72.53,0.95
1330,wonderful,j,71940,72.45,0.97
1331,library,n,71921,72.43,0.89
1332,prison,n,71871,72.38,0.97
1333,hole,n,71837,72.34,0.96
1334,attempt,n,71833,72.34,0.96
1335,complete,v,71752,72.26,0.94
1336,code,n,71659,72.16,0.96
1337,sales,n,71601,72.1,0.93
1338,gift,n,71372,71.87,0.98
1339,refuse,v,71277,71.78,0.97
1340,increase,n,71248,71.75,0.94
1341,garden,n,71243,71.74,0.92
1342,introduce,v,71221,71.72,0.97
1343,roll,v,71123,71.62,0.95
1344,christian,j,71055,71.55,0.95
1345,definitely,r,70982,71.48,0.96
1346,like,j,70955,71.45,0.97
1347,lake,n,70940,71.44,0.94
1348,turn,n,70831,71.33,0.98
1349,sure,r,70758,71.26,0.96
1350,earn,v,70697,71.19,0.96
1351,plane,n,70679,71.18,0.96
1352,vehicle,n,70662,71.16,0.96
1353,examine,v,70501,71.0,0.89
1354,application,n,70441,70.94,0.92
1355,thousand,n,70404,70.9,0.92
1356,coffee,n,70366,70.86,0.95
1357,gain,v,70275,70.77,0.96
1358,result,v,70269,70.76,0.92
1359,file,n,70059,70.55,0.95
1360,billion,m,70048,70.54,0.86
1361,reform,n,70010,70.5,0.93
1362,ignore,v,70007,70.5,0.97
1363,welcome,v,69914,70.41,0.94
1364,gold,n,69903,70.39,0.97
1365,jump,v,69861,70.35,0.97
1366,planet,n,69822,70.31,0.95
1367,location,n,69669,70.16,0.96
1368,bird,n,69662,70.15,0.96
1369,amazing,j,69525,70.01,0.96
1370,principle,n,69403,69.89,0.92
1371,promote,v,69398,69.89,0.94
1372,search,n,69392,69.88,0.96
1373,nine,m,69389,69.88,0.98
1374,alive,j,69360,69.85,0.98
1375,possibility,n,69316,69.8,0.96
1376,sky,n,69285,69.77,0.93
1377,otherwise,r,69243,69.73,0.97
1378,remind,v,69182,69.67,0.98
1379,healthy,j,69023,69.51,0.95
1380,fit,v,68996,69.48,0.98
1381,horse,n,68883,69.37,0.95
1382,advantage,n,68866,69.35,0.96
1383,commercial,j,68821,69.3,0.9
1384,steal,v,68807,69.29,0.98
1385,basis,n,68758,69.24,0.93
1386,context,n,68668,69.15,0.89
1387,highly,r,68586,69.07,0.95
1388,christmas,n,68542,69.02,0.97
1389,strength,n,68537,69.02,0.97
1390,move,n,68522,69.0,0.98
1391,monday,n,68488,68.97,0.82
1392,mean,n,68411,68.89,0.94
1393,alone,j,68401,68.88,0.97
1394,beach,n,68303,68.78,0.96
1395,survey,n,68301,68.78,0.89
1396,writing,n,68200,68.68,0.94
1397,master,n,68182,68.66,0.98
1398,cry,v,68161,68.64,0.94
1399,scale,n,68139,68.62,0.89
1400,resident,n,68096,68.57,0.92
1401,football,n,68073,68.55,0.93
1402,sweet,j,67903,68.38,0.97
1403,failure,n,67885,68.36,0.95
1404,reporter,n,67831,68.31,0.94
1405,commit,v,67792,68.27,0.97
1406,fight,n,67767,68.24,0.98
1407,one,n,67755,68.23,0.91
1408,associate,v,67750,68.23,0.89
1409,vision,n,67714,68.19,0.96
1410,function,n,67710,68.19,0.9
1411,truly,r,67680,68.16,0.96
1412,sick,j,67645,66.07,0.98
1413,average,j,67618,68.09,0.95
1414,human,n,67605,68.08,0.96
1415,stupid,j,67597,68.07,0.95
1416,will,n,67581,68.06,0.97
1417,chinese,j,67573,68.05,0.95
1418,connection,n,67550,68.02,0.97
1419,camp,n,67510,67.98,0.97
1420,stone,n,67456,67.93,0.95
1421,hundred,n,67455,67.93,0.91
1422,key,n,67404,67.88,0.98
1423,truck,n,67403,67.88,0.96
1424,afternoon,n,67378,67.85,0.95
1425,responsible,j,67329,67.8,0.97
1426,secretary,n,67325,67.8,0.94
1427,apparently,r,67248,67.72,0.98
1428,smart,j,67232,67.7,0.98
1429,southern,j,67179,67.65,0.95
1430,totally,r,67117,67.59,0.97
1431,western,j,67085,67.56,0.94
1432,collect,v,67062,67.53,0.96
1433,conflict,n,67061,67.53,0.92
1434,burn,v,66886,67.36,0.98
1435,learning,n,66879,67.35,0.81
1436,wake,v,66773,67.24,0.96
1437,contribute,v,66772,67.24,0.94
1438,ride,v,66723,67.19,0.96
1439,british,j,66700,67.17,0.95
1440,following,j,66684,67.15,0.92
1441,order,v,66657,67.13,0.98
1442,share,n,66642,67.11,0.94
1443,newspaper,n,66598,67.07,0.95
1444,foundation,n,66578,67.05,0.95
1445,variety,n,66555,67.02,0.93
1446,perspective,n,66540,67.01,0.92
1447,document,n,66467,66.93,0.95
1448,presence,n,66412,66.88,0.95
1449,stare,v,66392,66.86,0.83
1450,lesson,n,66252,66.72,0.96
1451,limit,v,66220,66.69,0.94
1452,appreciate,v,66216,66.68,0.98
1453,complete,j,66198,66.66,0.97
1454,observe,v,66197,66.66,0.92
1455,currently,r,66051,66.52,0.94
1456,hundred,m,66002,66.47,0.89
1457,fun,j,65982,66.45,0.97
1458,crowd,n,65965,66.43,0.96
1459,attack,v,65959,66.42,0.97
1460,apartment,n,65884,66.35,0.95
1461,survive,v,65838,66.3,0.98
1462,guest,n,65818,66.28,0.97
1463,soul,n,65749,66.21,0.98
1464,protection,n,65690,66.15,0.95
1465,intelligence,n,65687,66.15,0.94
1466,yesterday,r,65635,66.1,0.94
1467,somewhere,r,65620,66.08,0.97
1468,border,n,65422,65.88,0.93
1469,reading,n,65417,65.88,0.86
1470,terms,i,65413,65.87,0.93
1471,leadership,n,65396,65.86,0.94
1472,present,j,65336,65.8,0.91
1473,chief,n,65311,65.77,0.96
1474,attitude,n,65288,65.75,0.92
1475,start,n,65218,65.68,0.97
1476,um,u,65033,65.49,0.84
1477,deny,v,64887,65.34,0.97
1478,website,n,64875,64.86,0.9
1479,seriously,r,64827,65.28,0.97
1480,actual,j,64818,65.27,0.95
1481,recall,v,64789,65.24,0.96
1482,fix,v,64728,65.18,0.98
1483,negative,j,64601,65.05,0.93
1484,connect,v,64462,64.91,0.97
1485,distance,n,64404,64.86,0.95
1486,regular,j,64293,64.74,0.97
1487,climate,n,64223,64.67,0.92
1488,relation,n,64199,64.65,0.9
1489,flight,n,64148,64.6,0.97
1490,dangerous,j,64067,64.52,0.99
1491,boat,n,64026,64.48,0.95
1492,aspect,n,63967,64.42,0.92
1493,grab,v,63946,64.4,0.93
1494,until,i,63882,64.33,0.98
1495,favorite,j,63804,64.25,0.97
1496,like,r,63748,64.2,0.88
1497,january,n,63714,64.16,0.66
1498,independent,j,63631,64.08,0.94
1499,volume,n,63626,64.08,0.77
1500,am,r,63615,64.06,0.91
1501,lots,p,63604,64.05,0.97
1502,front,j,63594,64.04,0.94
1503,online,j,63564,64.01,0.92
1504,theater,n,63549,64.0,0.93
1505,speed,n,63502,63.95,0.95
1506,aware,j,63488,63.93,0.98
1507,identity,n,63440,63.89,0.9
1508,demand,n,63402,63.85,0.94
1509,extra,j,63392,63.84,0.97
1510,charge,v,63379,63.82,0.96
1511,guard,n,63290,63.73,0.96
1512,demonstrate,v,63269,63.71,0.91
1513,fully,r,63238,63.68,0.97
1514,tuesday,n,63179,63.62,0.75
1515,facility,n,63117,63.56,0.94
1516,farm,n,62942,63.38,0.96
1517,mind,v,62869,63.31,0.97
1518,fun,n,62839,63.28,0.98
1519,thousand,m,62833,63.27,0.89
1520,august,n,62821,63.26,0.6
1521,hire,v,62794,63.24,0.97
1522,light,j,62687,63.0,0.95
1523,link,n,62629,63.07,0.93
1524,shoe,n,62523,62.96,0.96
1525,institute,n,62451,62.89,0.94
1526,below,r,62313,62.75,0.95
1527,living,n,62299,62.74,0.97
1528,european,j,62156,62.59,0.93
1529,quarter,n,62138,62.57,0.96
1530,basically,r,62046,62.48,0.92
